#curie_map:
#  AGRO: http://purl.obolibrary.org/obo/AGRO_
#  AISM: http://purl.obolibrary.org/obo/AISM_
#  AMPHX: http://purl.obolibrary.org/obo/AMPHX_
#  APO: http://purl.obolibrary.org/obo/APO_
#  APOLLO_SV: http://purl.obolibrary.org/obo/APOLLO_SV_
#  ARO: http://purl.obolibrary.org/obo/ARO_
#  AfPO: http://purl.obolibrary.org/obo/AfPO_
#  BCO: http://purl.obolibrary.org/obo/BCO_
#  BFO: http://purl.obolibrary.org/obo/BFO_
#  BMONT: http://purl.obolibrary.org/obo/BMONT_
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CARO: http://purl.obolibrary.org/obo/CARO_
#  CDAO: http://purl.obolibrary.org/obo/CDAO_
#  CDNO: http://purl.obolibrary.org/obo/CDNO_
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CHMO: http://purl.obolibrary.org/obo/CHMO_
#  CIDO: http://purl.obolibrary.org/obo/CIDO_
#  CIO: http://purl.obolibrary.org/obo/CIO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLAO: http://purl.obolibrary.org/obo/CLAO_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  CLYH: http://purl.obolibrary.org/obo/CLYH_
#  CMO: http://purl.obolibrary.org/obo/CMO_
#  COLAO: http://purl.obolibrary.org/obo/COLAO_
#  CTENO: http://purl.obolibrary.org/obo/CTENO_
#  CTO: http://purl.obolibrary.org/obo/CTO_
#  CVDO: http://purl.obolibrary.org/obo/CVDO_
#  DDANAT: http://purl.obolibrary.org/obo/DDANAT_
#  DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#  DIDEO: http://purl.obolibrary.org/obo/DIDEO_
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  DRON: http://purl.obolibrary.org/obo/DRON_
#  DUO: http://purl.obolibrary.org/obo/DUO_
#  ECAO: http://purl.obolibrary.org/obo/ECAO_
#  ECO: http://purl.obolibrary.org/obo/ECO_
#  ECOCORE: http://purl.obolibrary.org/obo/ECOCORE_
#  ECTO: http://purl.obolibrary.org/obo/ECTO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#  EMRO: http://purl.obolibrary.org/obo/EMRO_
#  ENVO: http://purl.obolibrary.org/obo/ENVO_
#  EXMO: http://purl.obolibrary.org/obo/EXMO_
#  ExO: http://purl.obolibrary.org/obo/ExO_
#  FAO: http://purl.obolibrary.org/obo/FAO_
#  FBbi: http://purl.obolibrary.org/obo/FBbi_
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  FBcv: http://purl.obolibrary.org/obo/FBcv_
#  FBdv: http://purl.obolibrary.org/obo/FBdv_
#  FIDEO: http://purl.obolibrary.org/obo/FIDEO_
#  FIX: http://purl.obolibrary.org/obo/FIX_
#  FLOPO: http://purl.obolibrary.org/obo/FLOPO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  FYPO: http://purl.obolibrary.org/obo/FYPO_
#  GECKO: http://purl.obolibrary.org/obo/GECKO_
#  GENEPIO: http://purl.obolibrary.org/obo/GENEPIO_
#  GENO: http://purl.obolibrary.org/obo/GENO_
#  GO: http://purl.obolibrary.org/obo/GO_
#  GSSO: http://purl.obolibrary.org/obo/GSSO_
#  HANCESTRO: http://purl.obolibrary.org/obo/HANCESTRO_
#  HAO: http://purl.obolibrary.org/obo/HAO_
#  HOM: http://purl.obolibrary.org/obo/HOM_
#  HP: http://purl.obolibrary.org/obo/HP_
